Year,Months,S/S0,ExpS/S0,LogS/S0,S/S02,S/S03,S/S04,Tmax,Tavg,Tmin,Tmax/S0,Tavg/S0,Tmin/S0,RH,RH/S0,A,SinA,TanA,SinhA,TanhA,H0,H
2008,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,34.56,28.55,21.63,2.526076697,2.08679079,1.580990711,22.28,1.628500834,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.56578947,30.83
2008,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,36.62,30.33,23.14,2.707282593,2.242268734,1.710718711,18.81,1.390605832,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,39.95890411,29.17
2008,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,37.27,31.39,24.94,2.880560672,2.426101408,1.92758742,23.5,1.816291274,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,38.16666667,27.48
2008,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,34.45,28.99,22.91,2.835046967,2.385718768,1.885367954,27.28,2.244995102,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.32352941,23.34
2008,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,31.06,25.21,18.74,2.739596844,2.223607097,1.652931258,27.87,2.458228076,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.04411765,19.75
2008,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,26.23,20.04,14.22,2.462331056,1.881247211,1.334896973,36.6,3.435810775,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.18867925,12.82
2008,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,20.64,14.7,9.37,1.999669717,1.424183374,0.907795797,38.26,3.706752102,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.625,10.38
2009,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,19.42,13.11,7.34,1.850430898,1.249183783,0.699390463,40.22,3.832354825,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.7704918,13.89
2009,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,21.75,15.35,8.87,1.959837368,1.383149591,0.799253216,28.86,2.600501445,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.23214286,15.25
2009,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,24.66,17.33,10.16,2.083688093,1.464327439,0.858486254,25.11,2.121711599,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33,23.76
2009,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,28.89,21.73,13.86,2.283873082,1.717845693,1.09568989,20.43,1.615075357,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.4109589,27.31
2009,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,34.26,27.22,19.71,2.568563164,2.040755672,1.477711032,22.9,1.716873802,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,40.08695652,27.66
2009,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,34.25,28.26,21.71,2.503418023,2.065593966,1.586838111,27.58,2.015891068,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.58666667,30.44
2009,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,36.21,30.73,24.31,2.676971673,2.271840362,1.797215724,23.61,1.745465374,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.50704225,28.76
2009,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,36.21,30.65,24.58,2.798634342,2.368907556,1.899763384,26.18,2.023425768,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,38.03030303,25.1
2009,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,34.41,28.75,22.78,2.831755185,2.365968078,1.874669663,31.52,2.593923959,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.36619718,24.4
2009,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,29.81,24.51,19.04,2.629342625,2.161864735,1.67939227,40.39,3.562534338,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.265625,18.73
2009,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,25.73,19.8,14.06,2.41539375,1.858717305,1.319877035,35.75,3.356017356,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.28333333,14.57
2009,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,21.79,15.4,9.57,2.111085423,1.49200163,0.927172442,39.99,3.874360077,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.56363636,11.86
2010,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,17.05,11.85,6.71,1.624605912,1.12912493,0.639361036,45.86,4.369761121,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,23.05555556,12.45
2010,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,18.81,13.12,7.04,1.69492142,1.182209943,0.634356555,42.74,3.851193062,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.328125,17.49
2010,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,22.3,16.24,10.06,1.884275932,1.37222606,0.850036586,36.58,3.090888502,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,32.7027027,24.2
2010,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,30.14,23.51,16.88,2.382690713,1.858561999,1.334433286,24.35,1.924967447,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.35714286,26.15
2010,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,33.02,26.2,19.27,2.475597071,1.964283564,1.444723064,25.56,1.916301064,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,40.20289855,27.74
2010,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,34.34,27.81,21.89,2.509996348,2.032702342,1.59999476,27.28,1.993963319,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.91780822,29.87
2010,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,37.12,30.1,24.07,2.744247128,2.225265048,1.779472747,25.14,1.858576854,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.27142857,28.19
2010,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,34.45,28.41,23.08,2.662605719,2.195780217,1.783829898,31.68,2.448515216,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.83098592,26.86
2010,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,33.44,27.15,21.71,2.751929479,2.234296811,1.786614504,34.04,2.801306205,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,33.88888889,24.4
2010,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,28.02,22.31,17.2,2.471458583,1.967817308,1.517098059,43.4,3.828026499,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,28.82857143,20.18
2010,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,24.82,18.76,13.14,2.329967854,1.761087709,1.233512393,45.38,4.260029863,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.03225806,14.9
2010,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,20.16,14.85,9.51,1.95316577,1.438715858,0.921359448,49.58,4.803470183,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.38461538,11.12
2011,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,20.05,14.33,8.43,1.910460324,1.365431244,0.803250899,42.43,4.042934242,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.92537313,15.36
2011,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,19.98,14.22,8.03,1.800347154,1.281328155,0.723562945,38.19,3.441204095,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.55384615,17.91
2011,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,27.91,20.97,14.21,2.358302299,1.771895349,1.200697802,31.53,2.664180275,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33.109375,21.19
2011,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,29.64,22.9,16.3,2.34316366,1.810338995,1.288581905,26.43,2.089399985,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.09375,23.74
2011,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,33.3,26.39,19.74,2.496589415,1.978528368,1.479960212,24.26,1.818836613,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,39.7826087,27.45
2011,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,35.02,28.12,21.6,2.559699246,2.055361017,1.578797936,23.43,1.712557205,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.75675676,30.16
2011,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,35.93,29.94,24.06,2.656271533,2.213436396,1.778733457,24.86,1.837876714,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.18055556,28.93
2011,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,36.33,30.66,24.95,2.807909021,2.369680445,1.92836031,25.98,2.00796797,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.98591549,26.97
2011,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,33.79,27.99,22.65,2.780732569,2.303424226,1.863971373,32.42,2.667989047,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.01408451,24.15
2011,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,28.64,23.5,18.86,2.526144676,2.072779325,1.663515663,39.16,3.454044186,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29,19.72
2011,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,23.99,18.33,13.09,2.252051926,1.720721626,1.228818662,37.55,3.524991656,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,23.8,14.28
2011,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,19.46,13.99,9.09,1.885347514,1.355396286,0.880668495,40.51,3.924739353,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.51724138,12.48
2012,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,16.55,11.03,5.81,1.57696351,1.05099139,0.553604712,46.42,4.423120611,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.82142857,12.78
2012,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,22.65,15.93,9.45,2.040934086,1.43541192,0.851515546,32.02,2.885241035,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.6779661,16.33
2012,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,26.08,19.62,12.95,2.203673377,1.657824833,1.094231987,25.78,2.178324373,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,32.90277778,23.69
2012,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,28.87,22.03,15.44,2.282292,1.741561924,1.220595375,23.16,1.830893063,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.57971014,25.93
2012,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,32.41,25.46,18.65,2.429863752,1.908803799,1.398240018,21.34,1.59991646,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,40.1971831,28.54
2012,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,34.19,27.98,21.74,2.499032473,2.045128067,1.589030885,23.37,1.708171656,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,41.02739726,29.95
2012,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,38.02,31.74,25.48,2.810783293,2.346508725,1.883712738,21.92,1.620525244,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.05633803,28.44
2012,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,36.6,30.75,25.27,2.828777048,2.376636455,1.953092787,28.02,2.165637511,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.98648649,28.11
2012,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,35.76,29.38,23.53,2.942852817,2.41781364,1.93639057,28.52,2.347040334,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.05633803,24.18
2012,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,30.27,24.5,19.66,2.669916178,2.160982701,1.734078363,41.86,3.6921933,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.125,18.64
2012,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,26.66,20.51,14.86,2.502697138,1.925368279,1.394976725,31.93,2.99741634,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,23.92857143,13.4
2012,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,20.09,14.74,9.58,1.946383945,1.428058703,0.928141274,41.08,3.97996279,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.40740741,11.56
2013,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,20.81,14.48,8.67,1.982876775,1.379723965,0.826119252,35.49,3.381657701,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,23.0754717,12.23
2013,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,18.76,12.77,7.08,1.690416047,1.15067233,0.637960854,32.43,2.922185096,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.42857143,17.28
2013,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,21.61,15.39,9.18,1.825973224,1.300403883,0.775679509,30.92,2.612637301,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,32.81690141,23.3
2013,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,29.75,22.67,15.81,2.351859612,1.792156551,1.249845394,22.62,1.788203846,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.42253521,26.57
2013,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,35.06,27.95,20.85,2.628541288,2.09548571,1.563179859,19.9,1.491955837,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,39.73846154,25.83
2013,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,36.04,29.33,22.7,2.634253593,2.143802938,1.659199683,22.29,1.629231759,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,40.71232877,29.72
2013,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,35.75,29.77,23.82,2.642964301,2.200868454,1.760990479,24.2,1.789083527,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40.08450704,28.46
2013,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,36.52,29.71,23.37,2.822593929,2.296255905,1.806243705,25.45,1.967004806,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,38.14084507,27.08
2013,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,33.78,27.59,21.99,2.779909624,2.27050641,1.809656975,32.47,2.672103774,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,34.09859155,24.21
2013,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,31.29,24.99,19.33,2.759883621,2.204202355,1.704971249,31.87,2.811041579,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.08955224,19.49
2013,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,25.16,19.52,14.37,2.361885221,1.832432413,1.348978165,40.71,3.821635428,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.14545455,13.28
2013,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,19.26,13.86,8.62,1.86597087,1.342801467,0.83513338,39.73,3.849170439,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.31372549,10.87
2014,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,18.06,12.3,6.84,1.720843564,1.172003092,0.651748061,36.59,3.486470986,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.74545455,12.51
2014,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,21.02,14.56,8.14,1.894058918,1.311964693,0.733474767,34.13,3.075367787,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.33333333,16.4
2014,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,26.25,19.23,12.45,2.218037812,1.624871129,1.051983648,27.62,2.333798262,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33.02941176,22.46
2014,4,1.008545915,2.741611579,0.003695675,1.017164863,1.025857468,1.034624358,29.11,22.22,15.8,2.301264985,1.756582204,1.249054853,24.1,1.905203921,9.414893347,0.163582404,0.165816,0.165061368,0.162857726,37.43283582,25.08
2014,5,1.015613445,2.761056633,0.006728441,1.031470669,1.047575479,1.063931741,33.81,26.78,19.89,2.534825469,2.007767704,1.49120611,20.67,1.549684781,18.79191752,0.322132152,0.340270362,0.33389277,0.316705301,40.19117647,27.33
2014,6,1.018787588,2.769834546,0.008083645,1.037928149,1.057428315,1.077294843,33.99,27.65,21.56,2.484413974,2.021007543,1.575874236,25.96,1.897481223,23.085911,0.392110921,0.42624554,0.413916395,0.382449055,41.04166667,29.55
2014,7,1.016810908,2.764364878,0.007240197,1.033904423,1.051285295,1.068958355,35.93,29.67,23.63,2.656271533,2.193475547,1.746943956,23.07,1.705543676,21.18369356,0.361359215,0.387547056,0.378206331,0.353751325,40,29.2
2014,8,1.010167104,2.746059855,0.004393222,1.020437579,1.030812474,1.041292852,34.21,28.45,22.85,2.644056361,2.198871777,1.76605343,28.09,2.17104774,13.45495968,0.23268091,0.239247505,0.236997687,0.230609729,37.95833333,27.33
2014,9,1.000482177,2.719592837,0.000209356,1.000964586,1.001447228,1.001930102,32.72,26.16,20.06,2.692677409,2.152825215,1.650828509,29.8,2.452377347,2.216886783,0.03868232,0.038711293,0.038701628,0.038672677,33.875,24.39
2014,10,0.989158178,2.688969884,-0.004734254,0.9784339,0.967825894,0.957332898,30.69,24,18.16,2.706961595,2.116881013,1.6017733,31.86,2.810159545,-9.599397234,-0.166758374,-0.169126519,-0.168326002,-0.165990865,29.15873016,18.37
2014,11,0.979362529,2.662758269,-0.009056517,0.959150962,0.939356512,0.919970569,24.64,18.53,12.91,2.313070424,1.739496548,1.211921232,31.65,2.971131449,-18.91195474,-0.324114811,-0.34260965,-0.336102246,-0.318588955,24.11864407,14.23
2014,12,0.974645221,2.650226799,-0.011153442,0.949933306,0.925847957,0.902373286,19.66,12.88,7.3,1.904724159,1.247855909,0.707247526,36.94,3.578866248,-23.04962764,-0.391528292,-0.425497423,-0.41323111,-0.381908286,21.6,11.88
2015,1,0.978513465,2.660498377,-0.009433194,0.957488601,0.936915489,0.916784422,18.16,12.39,6.91,1.730372044,1.180578724,0.658417997,37.85,3.606529839,-20.91696257,-0.357014558,-0.382202129,-0.373233252,-0.349671871,22.92857143,12.84
2015,2,0.984552782,2.676614587,-0.006760996,0.969344181,0.95437051,0.939628141,20.01,14.37,8.17,1.803050378,1.294844275,0.736177991,27.74,2.499581084,-12.95460809,-0.224179051,-0.230033879,-0.228031927,-0.222324889,27.48148148,14.84
2015,3,0.997987545,2.712816909,-0.000874879,0.99597914,0.993974776,0.991974446,24.12,17.74,10.61,2.038059887,1.498971078,0.89650976,23.13,1.954408175,-2.417734805,-0.042184911,-0.042222497,-0.042209957,-0.042172405,33.08695652,22.83
